pool_id,location,sample_type,sampling_date,order,family,genus,species,description,location_pool_id
North Campus Open Space - 1,NA,FB250,13-Mar-19,Ostracod,NA,NA,NA,"bean, striped green",North Campus Open Space - 1
4,North Campus Open Space,FB250,14-Mar-19,Ostracod,Cyprididae,NA,NA,"bean, translucent",North Campus Open Space - 4
4,North Campus Open Space,FB250,14-Mar-19,Ostracod,Cyprididae,NA,NA,"bean, white/green",North Campus Open Space - 4
4,North Campus Open Space,FB250,14-Mar-19,Ostracod,Cyprididae,NA,NA,"bean, sage",North Campus Open Space - 4
4,North Campus Open Space,FB250,14-Mar-19,Ostracod,Cyprididae,Cyprettinae?,NA,green,North Campus Open Space - 4
4,North Campus Open Space,FB250,14-Mar-19,Ostracod,NA,NA,NA,"triangle, emerald green",North Campus Open Space - 4
4,North Campus Open Space,FB250,14-Mar-19,Ostracod,NA,NA,NA,"bean, light green",North Campus Open Space - 4
6,South Parcel,FB250,8-Apr-19,Ostracod,NA,NA,NA,"bean, translucent green",South Parcel - 6
6,South Parcel,FB250,8-Apr-19,Ostracod,Cyprididae,NA,NA,"triangle, light green",South Parcel - 6
6,South Parcel,FB250,8-Apr-19,Ostracod,Cyprididae,NA,NA,"bean, white",South Parcel - 6
6,South Parcel,FB250,8-Apr-19,Ostracod,Cyprididae,Cyprettinae?,NA,green,South Parcel - 6
7,Del Sol/Camino Corto,FB250,10-Apr-19,Ostracod,NA,NA,NA,"small bean, green",Del Sol/Camino Corto - 7
7,Del Sol/Camino Corto,FB250,10-Apr-19,Ostracod,NA,NA,NA,"bean, shiny white",Del Sol/Camino Corto - 7
7,Del Sol/Camino Corto,FB250,10-Apr-19,Ostracod,Cyprididae,NA,NA,"triangle, green",Del Sol/Camino Corto - 7
Santa Catalina,Manzanita Village,FB250,15-Apr-19,Ostracod,Ilocyprididae?,NA,NA,NA,Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,15-Apr-19,Ostracod,Cyprididae,NA,NA,"bean, emerald green",Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,15-Apr-19,Ostracod,Cyprididae,NA,NA,"bean, green",Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,15-Apr-19,Ostracod,Cyprididae,NA,NA,"bean, sage",Manzanita Village - Santa Catalina
4,North Campus Open Space,CORE,1-May-19,Ostracod,Cyprididae,Cyprettinae?,NA,NA,North Campus Open Space - 4
