objectid,location,pool_id,notes,gps_date,gps_time,acres,global_id,shape_area,shape_length,area,location_pool_id
61,Ellwood Mesa,1,NA,2/7/19 8:00,10:09:27,0.116903561,17ef34ad-4e10-4ba2-9fbd-c7fb0db60b77,5092.305664,391.0022331,473.0911346,Ellwood Mesa - 1
62,Ellwood Mesa,2,NA,2/7/19 8:00,10:31:04,0.045851735,dfdc395c-0742-4728-a45d-c9456bf028f6,1997.292969,202.3789613,185.5547681,Ellwood Mesa - 2
63,Ellwood Mesa,3,NA,2/7/19 8:00,10:42:10,0.049991796,394cdaee-1777-485b-9c61-140bb8083a90,2177.630859,290.3534297,202.3087226,Ellwood Mesa - 3
64,Ellwood Mesa,4,NA,2/7/19 8:00,10:57:31,0.016050224,ba8bfe1d-cb12-413d-a97c-f97805b89130,699.1425781,114.1588307,64.95253376,Ellwood Mesa - 4
65,Ellwood Mesa,5,NA,2/7/19 8:00,11:06:53,0.048854222,f2ea1124-bf3b-4fe1-acce-c3e5ab9e24bb,2128.09082,199.10182,197.7044612,Ellwood Mesa - 5
66,Ellwood Mesa,6,NA,2/7/19 8:00,11:28:25,0.076279609,9df6c4f8-8ebb-4580-b3da-85c385b22ecc,3322.727539,278.2769864,308.6889204,Ellwood Mesa - 6
68,South Parcel,3,NA,1/30/19 8:00,10:11:11,0.09061751,0a891b83-1c32-4d5a-a03a-af2a5dc0c8b5,3947.288086,262.575081,366.7154178,South Parcel - 3
69,South Parcel,2,NA,1/30/19 8:00,10:21:32,0.081701624,6d3cf3b7-17f1-4a14-aa4f-c840379478a9,3558.90918,222.1385925,330.6338018,South Parcel - 2
70,South Parcel,1,NA,1/30/19 8:00,10:25:09,0.079713779,2bc5f75d-d008-4a8a-9592-8fe2482bb89d,3472.325195,220.5120533,322.5898787,South Parcel - 1
71,South Parcel,5,NA,1/30/19 8:00,10:27:31,0.069952569,7acee04d-28fa-41e7-960c-40394efd4722,3047.128906,209.7327258,283.0878126,South Parcel - 5
72,South Parcel,4,NA,1/30/19 8:00,10:29:37,0.042659344,ee19e12a-eb43-460f-af72-893fce9525d1,1858.234375,159.1477554,172.6357895,South Parcel - 4
