objectid,location,pool_id,notes,gps_date,gps_time,acres,global_id,shape_area,shape_length,area
63,ellwood_mesa,3,NA,2/7/19 8:00,10:42:10,0.049991796,394cdaee-1777-485b-9c61-140bb8083a90,2177.630859,290.3534297,202.3087226
64,ellwood_mesa,4,NA,2/7/19 8:00,10:57:31,0.016050224,ba8bfe1d-cb12-413d-a97c-f97805b89130,699.1425781,114.1588307,64.95253376
65,ellwood_mesa,5,NA,2/7/19 8:00,11:06:53,0.048854222,f2ea1124-bf3b-4fe1-acce-c3e5ab9e24bb,2128.09082,199.10182,197.7044612
66,ellwood_mesa,6,NA,2/7/19 8:00,11:28:25,0.076279609,9df6c4f8-8ebb-4580-b3da-85c385b22ecc,3322.727539,278.2769864,308.6889204
67,more_mesa,Main pool,NA,2/15/19 8:00,16:25:44,0.2177345,5ccd37a5-0c37-4c98-8bf8-76b44f73fb20,9484.486328,504.318713,881.1384654
68,south_parcel,3,NA,1/30/19 8:00,10:11:11,0.09061751,0a891b83-1c32-4d5a-a03a-af2a5dc0c8b5,3947.288086,262.575081,366.7154178
69,south_parcel,2,NA,1/30/19 8:00,10:21:32,0.081701624,6d3cf3b7-17f1-4a14-aa4f-c840379478a9,3558.90918,222.1385925,330.6338018
70,south_parcel,1,NA,1/30/19 8:00,10:25:09,0.079713779,2bc5f75d-d008-4a8a-9592-8fe2482bb89d,3472.325195,220.5120533,322.5898787
71,south_parcel,5,NA,1/30/19 8:00,10:27:31,0.069952569,7acee04d-28fa-41e7-960c-40394efd4722,3047.128906,209.7327258,283.0878126
72,south_parcel,4,NA,1/30/19 8:00,10:29:37,0.042659344,ee19e12a-eb43-460f-af72-893fce9525d1,1858.234375,159.1477554,172.6357895
73,south_parcel,6,NA,1/30/19 8:00,10:32:22,0.060590865,449df468-c2e9-4a66-897a-93794a3069eb,2639.326172,189.4605336,245.2016622
74,south_parcel,7,NA,1/30/19 8:00,10:36:22,0.131695226,56af8fe1-c9bd-47fa-a3c9-373e94ecbc53,5736.626953,538.0006862,532.9505991
75,south_parcel,8,NA,1/30/19 8:00,10:40:54,0.034479216,a5bbae0b-f292-4f47-9571-60522d73abce,1501.913086,176.6866851,139.5324265
76,south_parcel,9,NA,1/30/19 8:00,10:42:56,0.019360902,6af3de60-081d-4fd8-8f34-eeaac6d9f795,843.3574219,121.1763402,78.35054412
77,south_parcel,SWW 1,NA,1/30/19 8:00,10:49:45,0.085172984,f2ffb062-c718-4084-bb6a-2550611b3802,3710.12207,226.4923623,344.6819527
79,sierra_madre,Central Wetland,NA,NA,NA,0.167696725,ee5a1284-5789-4a80-8d29-6706cce7f790,7304.848633,308.6836035,678.6433015
80,manzanita_village,Santa Catalina,NA,NA,NA,0.046184445,6602d9a7-0106-44ce-8188-f8faa414ba7c,2011.788086,185.6288809,186.9014099
81,manzanita_village,Santa Barbara,NA,NA,NA,0.048419184999999997,e8a44f4a-5c68-452a-b7e0-1f29aa3e7ec9,2109.129883,164.3143811,195.9447675
82,manzanita_village,Santa Cruz,NA,NA,NA,0.032009199,a56b7af7-7614-4adf-9e1d-e65316a5d777,1394.318359,142.3230789,129.5365397
83,manzanita_village,Santa Rosa,NA,NA,NA,0.067386714,a54f335b-66bf-43ef-9e7e-8ccbb60fc4e7,2935.352539,202.4603766,272.7034383
84,manzanita_village,San Miguel,NA,NA,NA,0.06914394,13af628c-35cc-4b89-baa5-5ddfb08632f2,3011.898438,229.1381705,279.8147918
85,ncos,1,NA,NA,NA,0.337816744,577addfc-76e5-4c6e-945c-81861989eabf,14715.24512,434.118822,1367.092329
86,ncos,2,NA,NA,NA,0.13444385,7b5e047f-e5ec-4a48-b2f1-6933ab1c084d,5856.361328,276.9964926,544.0742972
87,ncos,3,NA,NA,NA,0.267190956,d81cf887-0332-4b35-ae8d-82374a0abc40,11638.7959,413.7929896,1081.280567
88,ncos,4,NA,NA,NA,0.165347168,1b6fd74c-a0a9-4523-9e2e-c319dfd3db32,7202.49707,315.3342262,669.134521
89,ncos,5,NA,NA,NA,0.089560301,a161eea1-7164-4628-b9db-5c8c5a0ecb2d,3901.227539,229.2066926,362.4362489
90,ncos,6,NA,NA,NA,0.087890606,05ddc2cc-c42a-4e30-9564-eeef6651d057,3828.50293,225.7126411,355.679905
91,ncos,7,NA,NA,NA,0.133655668,c14fffc1-8868-420d-9009-114eb0204037,5822.023438,291.6126937,540.8841997
92,ncos,8,NA,NA,NA,0.061118171,2889488b-6380-459c-83fc-45be0f365484,2662.296875,219.7398376,247.3357124
94,west_campus,13,NA,7/10/19 8:00,15:01:30,NA,da6f09d2-586d-4816-9dae-cf693ddd5031,608.6845703,93.64593256,56.54870171
93,ellwood_mesa,Reference,NA,5/31/19 8:00,15:44:06,NA,9cdb7994-77c0-435a-ac7c-a7c8e5dbdfb0,2313.526367,182.3714394,214.9318438
